"","year","coast","median","sd"
"1","1981","0",68.3,10.5870630848175
"2","1981","1",69.9,37.5275555901451
"3","1982","0",70.2,12.0059112424632
"4","1982","1",72.5,43.1405212234225
"5","1983","0",74.6,12.6356035150869
"6","1983","1",75.7,52.1882124987006
"7","1984","0",78.1,14.9203520321038
"8","1984","1",79.6,63.6097911001877
"9","1985","0",80.7,17.9984205656258
"10","1985","1",84.4,61.4213899456626
"11","1986","0",85.2,18.3330887429572
"12","1986","1",90,60.8160199759429
"13","1987","0",87.6,16.411798891564
"14","1987","1",97,57.7391234861803
"15","1988","0",90.1,15.4969874184507
"16","1988","1",98.8,53.8003080182367
"17","1989","0",91.4,15.9172069217711
"18","1989","1",98.5,53.2810714177988
